Date,Transaction ID,Number,Description,Notes,Commodity/Currency,Void Reason,Action,Memo,Full Account Name,Account Name,Amount With Sym,Amount Num.,Reconcile,Reconcile Date,Rate/Price
2020/07/31,20200819072552054451834418961131,,買付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,100,c,,1768
,,,,,,,,手数料,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,58,c,,1
,,,,,,,,消費税,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,5,c,,1
,,,,,,,,,個人.負債:流動負債:未払金:有価証券:信用:岡三オンライン証券,,,-176863,c,,1
2020/07/31,20200819072552054522986822837138,,買付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,400,c,,1774
,,,,,,,,手数料,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,235,c,,1
,,,,,,,,消費税,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,23,c,,1
,,,,,,,,,個人.負債:流動負債:未払金:有価証券:信用:岡三オンライン証券,,,-709858,c,,1
2020/07/31,20200819072552054548737287551588,,買付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,500,c,,1733
,,,,,,,,手数料,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,287,c,,1
,,,,,,,,消費税,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,28,c,,1
,,,,,,,,,個人.負債:流動負債:未払金:有価証券:信用:岡三オンライン証券,,,-866815,c,,1
2020/07/31,20200819072552054568748965436653,,買付,,CURRENCY::JPY,,,,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,500,c,,1743
,,,,,,,,手数料,個人.資産:流動資産:有価証券:信用:岡三オンライン証券:株式:3000:3689 イグニス,,,285,c,,1
