譲渡益税履歴

検索開始年月日,検索終了年月日
"2020年10月23日","2020年11月26日"

譲渡益税徴収額合計,所得税,地方税
"19497","14699","4798"

損益合計金額
"140860"

明細数：299件

銘柄コード,銘柄名,累投区分,約定日,数量,受渡日,譲渡益税計算処理分類区分,商品,売却/決済金額,費用,取得/新規年月日,取得/新規金額,損益金額,譲渡益税徴収額,地方税
"9273","コーア商事ホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","322465","35","2020/10/22","320000","+2465","",""
"9273","コーア商事ホールディングス","","2020/10/21","200","2020/10/23","信用売決済","株式","639930","70","2020/10/22","640000","-70","",""
"7520","エコス","","2020/10/21","100","2020/10/23","信用売決済","株式","248233","67","2020/10/19","246900","+1333","",""
"7520","エコス","","2020/10/21","100","2020/10/23","信用売決済","株式","247333","67","2020/10/19","246900","+433","",""
"6291","日本エアーテック","","2020/10/21","400","2020/10/23","信用売決済","株式","711083","117","2020/10/21","714800","-3717","",""
"6291","日本エアーテック","","2020/10/21","200","2020/10/23","信用売決済","株式","353503","97","2020/10/19","357000","-3497","",""
"6291","日本エアーテック","","2020/10/21","400","2020/10/23","信用売決済","株式","714283","117","2020/10/21","713600","+683","",""
"6291","日本エアーテック","","2020/10/21","100","2020/10/23","信用売決済","株式","174291","9","2020/10/23","174000","+291","",""
"6291","日本エアーテック","","2020/10/21","100","2020/10/23","信用売決済","株式","176972","28","2020/10/21","171500","+5472","",""
"4482","ウィルズ","","2020/10/21","100","2020/10/23","信用売決済","株式","135845","55","2020/10/16","125700","+10145","",""
"3981","ビーグリー","","2020/10/21","100","2020/10/23","信用売決済","株式","248887","13","2020/10/23","248500","+387","",""
"3981","ビーグリー","","2020/10/21","100","2020/10/23","信用売決済","株式","248287","13","2020/10/23","248100","+187","",""
"3981","ビーグリー","","2020/10/21","100","2020/10/23","信用売決済","株式","247635","65","2020/10/19","240100","+7535","",""
"3981","ビーグリー","","2020/10/21","100","2020/10/23","信用売決済","株式","242335","65","2020/10/19","240100","+2235","",""
"3981","ビーグリー","","2020/10/21","100","2020/10/23","信用売決済","株式","240335","65","2020/10/19","240100","+235","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","349463","37","2020/10/22","341500","+7963","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340482","18","2020/10/23","340000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340982","18","2020/10/23","340500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340982","18","2020/10/23","340500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340482","18","2020/10/23","340000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340482","18","2020/10/23","340000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","340482","18","2020/10/23","340000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","341000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","344482","18","2020/10/23","338000","+6482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","332982","18","2020/10/23","331500","+1482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","339482","18","2020/10/23","339000","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","339982","18","2020/10/23","339500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","339982","18","2020/10/23","339500","+482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","684963","37","2020/10/23","684000","+963","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","663964","36","2020/10/23","663000","+964","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","672964","36","2020/10/23","671000","+1964","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","683963","37","2020/10/23","683000","+963","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","681963","37","2020/10/23","681000","+963","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","680963","37","2020/10/23","680000","+963","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","200","2020/10/23","信用売決済","株式","674964","36","2020/10/23","673000","+1964","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","337965","35","2020/10/22","327500","+10465","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","333982","18","2020/10/23","330000","+3982","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","337482","18","2020/10/23","330000","+7482","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","341482","18","2020/10/23","331500","+9982","",""
"3902","メディカル・データ・ビジョン","","2020/10/21","100","2020/10/23","信用売決済","株式","333982","18","2020/10/23","333500","+482","",""
